page,tag256_ImageWidth,tag257_ImageLength,tag258_BitsPerSample,tag259_Compression,tag262_PhotometricInterpretation,tag273_StripOffsets,tag277_SamplesPerPixel,tag278_RowsPerStrip,tag279_StripByteCounts,tag282_XResolution,tag283_YResolution,tag296_ResolutionUnit,tag32768,tag32769,tag32770,tag32771,tag32772,tag32773,tag32774,tag32775,tag32776,tag32777,tag32778,tag32779,tag32781_ImageID,tag32782,timestamp_ns,t_seconds,delta_ms
76,1440,1080,16,1,1,"(236416126,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,422,1940,912445760,8333149000000,5.066,66.0
77,1440,1080,16,1,1,"(239526860,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,423,1940,979445760,8333216000000,5.133,67.0
78,1440,1080,16,1,1,"(242637594,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,424,1940,1046445760,8333283000000,5.2,67.0
79,1440,1080,16,1,1,"(245748328,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,425,1940,1112445760,8333349000000,5.266,66.0
80,1440,1080,16,1,1,"(248859062,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,426,1940,1179445760,8333416000000,5.333,67.0
81,1440,1080,16,1,1,"(251969796,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,427,1940,1246445760,8333483000000,5.4,67.0
82,1440,1080,16,1,1,"(255080530,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,428,1940,1312445760,8333549000000,5.466,66.0
83,1440,1080,16,1,1,"(258191264,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,429,1940,1379445760,8333616000000,5.533,67.0
84,1440,1080,16,1,1,"(261301998,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,430,1940,1446445760,8333683000000,5.6,67.0
85,1440,1080,16,1,1,"(264412732,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,431,1940,1512445760,8333749000000,5.666,66.0
